name,attack,defense,cost,type,text
Skull of Ramos,,,{3},Artifact,{ tap }: Add { B } to your mana pool . $$Sacrifice Skull of Ramos : Add { B } to your mana pool .
Tidal Bore,,,{1}{U},Instant,You may return an Island you control to its owner's hand rather than pay Tidal Bore's mana cost . $You may tap or untap target creature .
Auspicious Ancestor,3,2,{3}{W},Creature - Human Cleric,"When Auspicious Ancestor dies , you gain 3 life . $Whenever a player casts a white spell , you may pay { 1 } . If you do , you gain 1 life ."
Crash of Rhinos,4,8,{6}{G}{G},Creature - Rhino,Trample
Forsaken Wastes,,,{2}{B},World Enchantment,"Players can't gain life . $At the beginning of each player's upkeep , that player loses 1 life . $Whenever Forsaken Wastes becomes the target of a spell , that spell's controller loses 5 life ."
Jolt,,,{2}{U},Instant,"You may tap or untap target artifact , creature , or land . $Draw a card at the beginning of the next turn's upkeep ."
Nocturnal Raid,,,{2}{B}{B},Instant,Black creatures get +2/+0 until end of turn .
Sapphire Charm,,,{U},Instant,"Choose one - Target player draws a card at the beginning of the next turn's upkeep ; or target creature gains flying until end of turn ; or target creature an opponent controls phases out . < i > (While it's phased out , it's treated as though it doesn't exist . It phases in before its controller untaps during his or her next untap step . ) < /i >"
Teferi's Isle,,,,Legendary Land,"Phasing < i > (This phases in or out before you untap during each of your untap steps . While it's phased out , it's treated as though it doesn't exist . )</i>$Teferi's Isle enters the battlefield tapped . ${tap }: Add { U}{U } to your mana pool ."
Worldly Tutor,,,{G},Instant,"Search your library for a creature card and reveal that card . Shuffle your library , then put the card on top of it ."
Blinkmoth Well,,,,Land,"{ tap }: Add { C } to your mana pool . ${2 } , { tap }: Tap target noncreature artifact ."
Dragon Blood,,,{3},Artifact,"{ 3 } , { tap }: Put a +1/+1 counter on target creature ."
Goblin Dirigible,4,4,{6},Artifact Creature - Construct,"Flying$Goblin Dirigible doesn't untap during your untap step . $At the beginning of your upkeep , you may pay { 4 } . If you do , untap Goblin Dirigible ."
Krark-Clan Grunt,2,2,{2}{R},Creature - Goblin Warrior,Sacrifice an artifact : Krark-Clan Grunt gets +1/+0 and gains first strike until end of turn .
Megatog,4,3,{4}{R}{R},Creature - Atog,Sacrifice an artifact : Megatog gets +3/+3 and gains trample until end of turn .
Oblivion Stone,,,{3},Artifact,"{ 4 } , { tap }: Put a fate counter on target permanent . ${5 } , { tap } , Sacrifice Oblivion Stone : Destroy each nonland permanent without a fate counter on it , then remove all fate counters from all permanents ."
Scrabbling Claws,,,{1},Artifact,"{ tap }: Target player exiles a card from his or her graveyard . ${1 } , Sacrifice Scrabbling Claws : Exile target card from a graveyard . Draw a card ."
Spoils of the Vault,,,{B},Instant,"Name a card . Reveal cards from the top of your library until you reveal the named card , then put that card into your hand . Exile all other cards revealed this way , and you lose 1 life for each of the exiled cards ."
Tower of Fortunes,,,{4},Artifact,"{ 8 } , { tap }: Draw four cards ."
Wurmskin Forger,2,2,{5}{G}{G},Creature - Elf Warrior,"When Wurmskin Forger enters the battlefield , distribute three +1/+1 counters among one , two , or three target creatures ."
Core Prowler,2,2,{4},Artifact Creature - Horror,"Infect < i > (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i > $When Core Prowler dies , proliferate . < i > (You choose any number of permanents and/or players with counters on them , then give each another counter of a kind already there . ) < /i >"
Goblin Wardriver,2,2,{R}{R},Creature - Goblin Warrior,"Battle cry < i > (Whenever this creature attacks , each other attacking creature gets +1/+0 until end of turn . ) < /i >"
Leonin Relic-Warder,2,2,{W}{W},Creature - Cat Cleric,"When Leonin Relic-Warder enters the battlefield , you may exile target artifact or enchantment . $When Leonin Relic-Warder leaves the battlefield , return the exiled card to the battlefield under its owner's control ."
Oculus,1,1,{1}{U},Creature - Homunculus,"When Oculus dies , you may draw a card ."
Quilled Slagwurm,8,8,{4}{G}{G}{G},Creature - Wurm,
Spire Serpent,5,3,{4}{U},Creature - Serpent,"Defender$Metalcraft - As long as you control three or more artifacts , Spire Serpent gets +2/+2 and can attack as though it didn't have defender ."
Viridian Corrupter,2,2,{1}{G}{G},Creature - Elf Shaman,"Infect < i > (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i > $When Viridian Corrupter enters the battlefield , destroy target artifact ."
Epochrasite,1,1,{2},Artifact Creature - Construct,"Epochrasite enters the battlefield with three +1/+1 counters on it if you didn't cast it from your hand . $When Epochrasite dies , exile it with three time counters on it and it gains suspend . < i > (At the beginning of your upkeep , remove a time counter . When the last is removed , cast this card without paying its mana cost . It has haste . ) < /i >"
Riftsweeper,2,2,{1}{G},Creature - Elf Shaman,"When Riftsweeper enters the battlefield , choose target face-up exiled card . Its owner shuffles it into his or her library ."
Ballyrush Banneret,1,2,{1}{W},Creature - Kithkin Soldier,Kithkin spells and Soldier spells you cast cost { 1 } less to cast .
Earthbrawn,,,{1}{G},Instant,"Target creature gets +3/+3 until end of turn . $Reinforce 1-{1}{G } < i > ({1}{G } , Discard this card : Put a +1/+1 counter on target creature . ) < /i >"
Inspired Sprite,2,2,{3}{U},Creature - Faerie Wizard,"Flash$Flying$Whenever you cast a Wizard spell , you may untap Inspired Sprite . ${tap }: Draw a card , then discard a card ."
Nightshade Schemers,2,3,{4}{B},Creature - Faerie Wizard,"Flying$Kinship - At the beginning of your upkeep , you may look at the top card of your library . If it shares a creature type with Nightshade Schemers , you may reveal it . If you do , each opponent loses 2 life ."
Roar of the Crowd,,,{3}{R},Sorcery,Choose a creature type . Roar of the Crowd deals damage to target creature or player equal to the number of permanents you control of the chosen type .
Thieves' Fortune,,,{2}{U},Tribal Instant - Rogue,Prowl { U } < i > (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Rogue . ) < /i > $Look at the top four cards of your library . Put one of them into your hand and the rest on the bottom of your library in any order .
Avenger en-Dal,1,1,{1}{W},Creature - Human Spellshaper,"{ 2}{W } , { tap } , Discard a card : Exile target attacking creature . Its controller gains life equal to its toughness ."
Jolting Merfolk,2,2,{2}{U}{U},Creature - Merfolk,"Fading 4 < i > (This creature enters the battlefield with four fade counters on it . At the beginning of your upkeep , remove a fade counter from it . If you can't , sacrifice it . ) < /i > $Remove a fade counter from Jolting Merfolk : Tap target creature ."
Plague Witch,1,1,{1}{B},Creature - Elf Spellshaper,"{ B } , { tap } , Discard a card : Target creature gets -1/-1 until end of turn ."
Sivvi's Ruse,,,{2}{W}{W},Instant,"If an opponent controls a Mountain and you control a Plains , you may cast Sivvi's Ruse without paying its mana cost . $Prevent all damage that would be dealt this turn to creatures you control ."
Alloy Myr,2,2,{3},Artifact Creature - Myr,{ tap }: Add one mana of any color to your mana pool .
Chancellor of the Dross,6,6,{4}{B}{B}{B},Creature - Vampire,"You may reveal this card from your opening hand . If you do , at the beginning of the first upkeep , each opponent loses 3 life , then you gain life equal to the life lost this way . $Flying , lifelink"
Evil Presence,,,{B},Enchantment - Aura,Enchant land$Enchanted land is a Swamp .
Immolating Souleater,1,1,{2},Artifact Creature - Hound,{ RP }: Immolating Souleater gets +1/+0 until end of turn . < i > ({RP } can be paid with either { R } or 2 life . ) < /i >
Mindcrank,,,{2},Artifact,"Whenever an opponent loses life , that player puts that many cards from the top of his or her library into his or her graveyard . < i > (Damage dealt by sources without infect causes loss of life . ) < /i >"
Phyrexian Swarmlord,4,4,{4}{G}{G},Creature - Insect Horror,"Infect < i > (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i > $At the beginning of your upkeep , put a 1/1 green Insect creature token with infect onto the battlefield for each poison counter your opponents have ."
Shattered Angel,3,3,{3}{W}{W},Creature - Angel,"Flying$Whenever a land enters the battlefield under an opponent's control , you may gain 3 life ."
Tezzeret's Gambit,,,{3}{UP},Sorcery,"< i > ({UP } can be paid with either { U } or 2 life . ) < /i > $Draw two cards , then proliferate . < i > (You choose any number of permanents and/or players with counters on them , then give each another counter of a kind already there . ) < /i >"
Whipflare,,,{1}{R},Sorcery,Whipflare deals 2 damage to each nonartifact creature .
Dancing Scimitar,5,1,{4},Artifact Creature - Spirit,Flying < i > (This creature can't be blocked except by creatures with flying or reach . ) < /i >
Greater Good,,,{2}{G}{G},Enchantment,"Sacrifice a creature : Draw cards equal to the sacrificed creature's power , then discard three cards ."
Plagiarize,,,{3}{U},Instant,"Until end of turn , if target player would draw a card , instead that player skips that draw and you draw a card ."
Thought Courier,1,1,{1}{U},Creature - Human Wizard,"{ tap }: Draw a card , then discard a card ."
Baloth Pup,1,3,{1}{G},Creature - Beast,Baloth Pup has trample as long as it has a +1/+1 counter on it .
Crumbling Vestige,,,,Land,"Crumbling Vestige enters the battlefield tapped . $When Crumbling Vestige enters the battlefield , add one mana of any color to your mana pool . ${T }: Add { C } to you mana pool . < i > ({C } represents colorless mana . ) < /i >"
Expedite,,,{R},Instant,Target creature gains haste until end of turn . $Draw a card .
Inverter of Truth,6,6,{2}{B}{B},Creature - Eldrazi,"Devoid < i > (This card has no color . ) < /i > $Flying$When Inverter of Truth enters the battlefield , exile all cards from your library face down , then shuffle all cards from your graveyard into your library ."
Malakir Soothsayer,4,4,{4}{B},Creature - Vampire Shaman Ally,"< i > Cohort < /i > - { T } , Tap an untapped Ally you control : You draw a card and you lose a life ."
Press into Service,,,{4}{R},Sorcery,Support 2 . < i > (Put a +1/+1 counter on each of up to two target creatures . ) < /i > $Gain control of target creature until end of turn . Untap that creature . It gains haste until end of turn .
Seer's Lantern,,,{3},Artifact,"{ T }: Add { C } to your mana pool . ${2 } , { T }: Scry 1 ."
Tar Snare,,,{2}{B},Instant,Target creature gets -3/-2 until end of turn .
Warden of Geometries,3,2,{4},Creature - Eldrazi Drone,Vigilance${T }: Add { C } to your mana pool .
Aven Archer,2,2,{3}{W}{W},Creature - Bird Soldier Archer,"Flying${2}{W } , { tap }: Aven Archer deals 2 damage to target attacking or blocking creature ."
Cabal Pit,,,,Land,"{ tap }: Add { B } to your mana pool . Cabal Pit deals 1 damage to you . $Threshold - { B } , { tap } , Sacrifice Cabal Pit : Target creature gets -2/-2 until end of turn . Activate this ability only if seven or more cards are in your graveyard ."
Confessor,1,1,{W},Creature - Human Cleric,"Whenever a player discards a card , you may gain 1 life ."
Dogged Hunter,1,1,{2}{W},Creature - Human Nomad,{ tap }: Destroy target creature token .
Fledgling Imp,2,2,{2}{B},Creature - Imp,"{ B } , Discard a card : Fledgling Imp gains flying until end of turn ."
Lithatog,2,1,{1}{R}{G},Creature - Atog,Sacrifice an artifact : Lithatog gets +1/+1 until end of turn . $Sacrifice a land : Lithatog gets +1/+1 until end of turn .
Nantuko Elder,2,1,{2}{G},Creature - Insect Druid,{ tap }: Add { C}{G } to your mana pool .
Predict,,,{1}{U},Instant,"Name a card , then target player puts the top card of his or her library into his or her graveyard . If that card is the named card , you draw two cards . Otherwise , you draw a card ."
Savage Firecat,0,0,{3}{R}{R},Creature - Elemental Cat,"Trample$Savage Firecat enters the battlefield with seven +1/+1 counters on it . $Whenever you tap a land for mana , remove a +1/+1 counter from Savage Firecat ."
Stalking Bloodsucker,4,4,{4}{B}{B},Creature - Vampire,"Flying${1}{B } , Discard a card : Stalking Bloodsucker gets +2/+2 until end of turn ."
Treetop Sentinel,3,2,{2}{U}{U},Creature - Bird Soldier,"Flying , protection from green"
Airdrop Condor,2,2,{4}{R},Creature - Bird,"Flying${1}{R } , Sacrifice a Goblin creature : Airdrop Condor deals damage equal to the sacrificed creature's power to target creature or player ."
Bloodstained Mire,,,,Land,"{ tap } , Pay 1 life , Sacrifice Bloodstained Mire : Search your library for a Swamp or Mountain card and put it onto the battlefield . Then shuffle your library ."
Daru Cavalier,2,2,{3}{W},Creature - Human Soldier,"First strike$When Daru Cavalier enters the battlefield , you may search your library for a card named Daru Cavalier , reveal it , and put it into your hand . If you do , shuffle your library ."
Everglove Courier,1,2,{2}{G},Creature - Elf,"You may choose not to untap Everglove Courier during your untap step . ${2}{G } , { tap }: Target Elf creature gets +2/+2 and has trample for as long as Everglove Courier remains tapped ."
Goblin Sledder,1,1,{R},Creature - Goblin,Sacrifice a Goblin : Target creature gets +1/+1 until end of turn .
Insurrection,,,{5}{R}{R}{R},Sorcery,Untap all creatures and gain control of them until end of turn . They gain haste until end of turn .
Peer Pressure,,,{3}{U},Sorcery,"Choose a creature type . If you control more creatures of that type than each other player , you gain control of all creatures of that type . < i > (This effect lasts indefinitely . ) < /i >"
Shepherd of Rot,1,1,{1}{B},Creature - Zombie Cleric,{ tap }: Each player loses 1 life for each Zombie on the battlefield .
Steely Resolve,,,{1}{G},Enchantment,"As Steely Resolve enters the battlefield , choose a creature type . $Creatures of the chosen type have shroud . < i > (They can't be the targets of spells or abilities . ) < /i >"
Voidmage Prodigy,1,2,{U}{U},Creature - Human Wizard,"{ U}{U } , Sacrifice a Wizard : Counter target spell . $Morph { U } < i > You may cast this card face downn as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i >"
Exotic Curse,,,{2}{B},Enchantment - Aura,Enchant creature$Domain - Enchanted creature gets -1/-1 for each basic land type among lands you control .
Brute Force,,,{R},Instant,Target creature gets +3/+3 until end of turn .
Evolution Charm,,,{1}{G},Instant,"Choose one - Search your library for a basic land card , reveal it , put it into your hand , then shuffle your library ; or return target creature card from your graveyard to your hand ; or target creature gains flying until end of turn ."
Imp's Mischief,,,{1}{B},Instant,Change the target of target spell with a single target . You lose life equal to that spell's converted mana cost .
Null Profusion,,,{4}{B}{B},Enchantment,"Skip your draw step . $Whenever you play a card , draw a card . $Your maximum hand size is two ."
Roiling Horror,*,*,{3}{B}{B},Creature - Horror,"Roiling Horror's power and toughness are each equal to your life total minus the life total of an opponent with the most life . $Suspend X-{X}{B}{B}{B } . X can't be 0 . < i > (Rather than cast this card from your hand , you may pay { X}{B}{B}{B } and exile it with X time counters on it . At the beginning of your upkeep , remove a time counter . When the last is removed , cast it without paying its mana cost . It has haste . ) < /i > $Whenever a time counter is removed from Roiling Horror while it's exiled , target player loses 1 life and you gain 1 life ."
Tidewalker,*,*,{2}{U},Creature - Elemental,"Tidewalker enters the battlefield with a time counter on it for each Island you control . $Vanishing < i > (At the beginning of your upkeep , remove a time counter from this permanent . When the last is removed , sacrifice it . )</i>$Tidewalker's power and toughness are each equal to the number of time counters on it ."
"Bosh, Iron Golem",7,6,{8},Legendary Artifact Creature - Golem,"Trample${3}{R } , Sacrifice an artifact : Bosh , Iron Golem deals damage equal to the sacrificed artifact's converted mana cost to target creature or player ."
Lodestone Myr,2,2,{4},Artifact Creature - Myr,Trample$Tap an untapped artifact you control : Lodestone Myr gets +1/+1 until end of turn .
Taurean Mauler,2,2,{2}{R},Creature - Shapeshifter,"Changeling < i > (This card is every creature type at all times . ) < /i > $Whenever an opponent casts a spell , you may put a +1/+1 counter on Taurean Mauler ."
Krosan Verge,,,,Land,"Krosan Verge enters the battlefield tapped . ${tap }: Add { C } to your mana pool . ${2 } , { tap } , Sacrifice Krosan Verge : Search your library for a Forest card and a Plains card and put them onto the battlefield tapped . Then shuffle your library ."
Whirlpool Warrior,2,2,{2}{U},Creature - Merfolk Warrior,"When Whirlpool Warrior enters the battlefield , shuffle the cards from your hand into your library , then draw that many cards . ${R } , Sacrifice Whirlpool Warrior : Each player shuffles the cards from his or her hand into his or her library , then draws that many cards ."
Disciple of Kangee,2,2,{2}{W},Creature - Human Wizard,"{ U } , { tap }: Target creature gains flying and becomes blue until end of turn ."
Keldon Mantle,,,{1}{R},Enchantment - Aura,Enchant creature${B }: Regenerate enchanted creature . ${R }: Enchanted creature gets +1/+0 until end of turn . ${G }: Enchanted creature gains trample until end of turn .
Phyrexian Scuta,3,3,{3}{B},Creature - Zombie,"Kicker-Pay 3 life . < i > (You may pay 3 life in addition to any other costs as you cast this spell . ) < /i > $If Phyrexian Scuta was kicked , it enters the battlefield with two +1/+1 counters on it ."
Singe,,,{R},Instant,Singe deals 1 damage to target creature . That creature becomes black until end of turn .
Treva's Ruins,,,,Land - Lair,"When Treva's Ruins enters the battlefield , sacrifice it unless you return a non-Lair land you control to its owner's hand . ${tap }: Add { G } , { W } , or { U } to your mana pool ."
Devastation,,,{5}{R}{R},Sorcery,Destroy all creatures and lands .
Mercenary Knight,4,4,{2}{B},Creature - Human Mercenary Knight,"When Mercenary Knight enters the battlefield , sacrifice it unless you discard a creature card ."
Spiritual Guardian,4,3,{3}{W}{W},Creature - Spirit,"When Spiritual Guardian enters the battlefield , you gain 4 life ."
Abyssal Nightstalker,2,2,{3}{B},Creature - Nightstalker,"Whenever Abyssal Nightstalker attacks and isn't blocked , defending player discards a card ."
Extinguish,,,{1}{U},Instant,Counter target sorcery spell .
Ogre Berserker,2,4,{4}{R},Creature - Ogre Berserker,Haste
Trokin High Guard,3,3,{3}{W},Creature - Human Knight,
"Diaochan, Artful Beauty",1,1,{3}{R},Legendary Creature - Human Advisor,"{ tap }: Destroy target creature of your choice , then destroy target creature of an opponent's choice . Activate this ability only during your turn , before attackers are declared ."
"Ma Chao, Western Warrior",3,3,{3}{R}{R},Legendary Creature - Human Soldier Warrior,"Horsemanship < i > (This creature can't be blocked except by creatures with horsemanship . ) < /i > $Whenever Ma Chao , Western Warrior attacks alone , it can't be blocked this combat ."
Shu Foot Soldiers,3,2,{2}{W},Creature - Human Soldier,
Wei Ambush Force,1,1,{1}{B},Creature - Human Soldier,"Whenever Wei Ambush Force attacks , it gets +2/+0 until end of turn ."
"Zhang Liao, Hero of Hefei",3,3,{4}{B}{B},Legendary Creature - Human Soldier,"Whenever Zhang Liao , Hero of Hefei deals damage to an opponent , that opponent discards a card ."
Glory,3,3,{{3}{W}{W},Creature - Incarnation,Flying${2}{W }: Choose a color . Creatures you control gain protection from the chosen color until end of turn . Activate this ability only if Glory is in your graveyard .
Fault Riders,2,2,{2}{R},Creature - Human Soldier,Sacrifice a land : Fault Riders gets +2/+0 and gains first strike until end of turn . Activate this ability only once each turn .
Mercenary Informer,1,2,{2}{W},Creature - Human Rebel Mercenary,Mercenary Informer can't be the target of black spells or abilities from black sources . ${2}{W }: Put target nontoken Mercenary on the bottom of its owner's library .
Shield Dancer,3,1,{2}{W},Creature - Human Rebel,"{ 2}{W }: The next time target attacking creature would deal combat damage to Shield Dancer this turn , that creature deals that damage to itself instead ."
Whip Sergeant,1,2,{2}{R},Creature - Human Soldier,{ R }: Target creature gains haste until end of turn . < i > (It can attack this turn . ) < /i >
Caregiver,1,1,{W},Creature - Human Cleric,"{ W } , Sacrifice a creature : Prevent the next 1 damage that would be dealt to target creature or player this turn ."
Dark Confidant,1,2,{1}{B},Creature - Human Wizard,"At the beginning of your upkeep , reveal the top card of your library and put that card into your hand . You lose life equal to its converted mana cost ."
Ethereal Usher,3,2,{5}{U},Creature - Spirit,"{ U } , { tap }: Target creature is unblockable this turn . $Transmute { 1}{U}{U } < i > ({1}{U}{U } , Discard this card : Search your library for a card with the same converted mana cost as this card , reveal it , and put it into your hand . Then shuffle your library . Transmute only as a sorcery . ) < /i >"
Golgari Grave-Troll,0,0,{4}{G},Creature - troll skeleton,"Golgari Grave-Troll enters the battlefield with a +1/+1 counter on it for each creature card in your graveyard . ${1 } , Remove a +1/+1 counter from Golgari Grave-Troll : Regenerate Golgari Grave-Troll . $Dredge 6 < i > (If you would draw a card , instead you may put exactly six cards from the top of your library into your graveyard . If you do , return this card from your graveyard to your hand . Otherwise , draw a card . ) < /i >"
Hunted Phantasm,6,4,{1}{U}{U},Creature - Spirit,"Hunted Phantasm is unblockable . $When Hunted Phantasm enters the battlefield , put five 1/1 red Goblin creature tokens onto the battlefield under target opponent's control ."
Muddle the Mixture,,,{U}{U},Instant,"Counter target instant or sorcery spell . $Transmute { 1}{U}{U } < i > ({1}{U}{U } , Discard this card : Search your library for a card with the same converted mana cost as this card , reveal it , and put it into your hand . Then shuffle your library . Transmute only as a sorcery . ) < /i >"
Remand,,,{1}{U},Instant,"Counter target spell . If that spell is countered this way , put it into its owner's hand instead of into that player's graveyard . $Draw a card ."
Shambling Shell,1,3,{1}{B}{G},Creature - Plant Zombie,"Sacrifice Shambling Shell : Put a +1/+1 counter on target creature . $Dredge 3 < i > (If you would draw a card , instead you may put exactly three cards from the top of your library into your graveyard . If you do , return this card from your graveyard to your hand . Otherwise , draw a card . ) < /i >"
Terrarion,,,{1},Artifact,"Terrarion enters the battlefield tapped . ${2 } , { tap } , Sacrifice Terrarion : Add two mana in any combination of colors to your mana pool . $When Terrarion is put into a graveyard from the battlefield , draw a card ."
Voyager Staff,,,{1},Artifact,"{ 2 } , Sacrifice Voyager Staff : Exile target creature . Return the exiled card to the battlefield under its owner's control at the beginning of the next end step ."
Azorius Arrester,1,2,{1}{W},Creature - Human Soldier,"When Azorius Arrester enters the battlefield , detain target creature an opponent controls . < i > (Until your next turn , that creature can't attack or block and its activated abilities can't be activated . ) < /i >"
Chorus of Might,,,{3}{G},Instant,"Until end of turn , target creature gets +1/+1 for each creature you control and gains trample ."
Deathrite Shaman,2,1,{BG},Creature - Elf Shaman,"{ tap }: Exile target land card from a graveyard . Add one mana of any color to your mana pool . ${B } , { tap }: Exile target instant or sorcery card from a graveyard . Each opponent loses 2 life . ${G } , { tap }: Exile target creature card from a graveyard . You gain 2 life ."
Explosive Impact,,,{5}{R},Instant,Explosive Impact deals 5 damage to target creature or player .
Grove of the Guardian,,,,Land,"{ tap }: Add { C } to your mana pool . ${3}{G}{W } , { tap } , Tap two untapped creatures you control , Sacrifice Grove of the Guardian : Put an 8/8 green and white Elemental creature token with vigilance onto the battlefield ."
Jarad's Orders,,,{2}{B}{G},Sorcery,Search your library for up to two creature cards and reveal them . Put one into your hand and the other into your graveyard . Then shuffle your library .
Nivmagus Elemental,2,1,{UR},Creature - Elemental,Exile an instant or sorcery spell you control : Put two +1/+1 counters on Nivmagus Elemental . < i > (That spell won't resolve . ) < /i >
Rakdos Shred-Freak,1,2,{BR}{BR},Creature - Human Berserker,Haste
Sewer Shambler,1,2,{2}{B},Creature - Zombie,"Swampwalk < i > (This creature is unblockable as long as defending player controls a Swamp . ) < /i > $Scavenge { 2}{B } < i > ({2}{B } , Exile this card from your graveyard : Put a number of +1/+1 counters equal to this card's power on target creature . Scavenge only as a sorcery . ) < /i >"
Street Spasm,,,{X}{R},Instant,"Street Spasm deals X damage to target creature without flying you don't control . $Overload { X}{X}{R}{R } < i > (You may cast this spell for its overload cost . If you do , change its text by replacing all instances of "" target "" with "" each . "" ) < /i >"
Trestle Troll,4,1,{1}{B}{G},Creature - Troll,Defender$Reach < i > (This creature can block creatures with flying . ) < /i > ${1}{B}{G }: Regenerate Trestle Troll .
Desert Twister,,,{4}{G}{G},Sorcery,Destroy target permanent .
Battle Rampart,3,1,{2}{R},Creature - Wall,Defender${tap }: Target creature gains haste until end of turn .
Dawnglare Invoker,1,2,{2}{W},Creature - Kor Wizard,Flying${8 }: Tap all creatures target player controls .
"Emrakul, the Aeons Torn",15,15,{15},Legendary Creature - Eldrazi,"Emrakul , the Aeons Torn can't be countered . $When you cast Emrakul , take an extra turn after this one . $Flying , protection from colored spells , annihilator 6$When Emrakul is put into a graveyard from anywhere , its owner shuffles his or her graveyard into his or her library ."
Grotag Siege-Runner,1,2,{1}{R},Creature - Goblin Rogue,"{ R } , Sacrifice Grotag Siege-Runner : Destroy target creature with defender . Grotag Siege-Runner deals 2 damage to that creature's controller ."
Kiln Fiend,2,1,{1}{R},Creature - Elemental Beast,"Whenever you cast an instant or sorcery spell , Kiln Fiend gets +3/+0 until end of turn ."
Merfolk Skyscout,3,2,{2}{U}{U},Creature - Merfolk Scout,"Flying$Whenever Merfolk Skyscout attacks or blocks , untap target permanent ."
Pawn of Ulamog,2,2,{1}{B}{B},Creature - Vampire Shaman,"Whenever Pawn of Ulamog or another nontoken creature you control dies , you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield . It has "" Sacrifice this creature : Add { C } to your mana pool . """
Sarkhan the Mad,,,{3}{B}{R},Planeswalker - Sarkhan,"0 : Reveal the top card of your library and put it into your hand . Sarkhan the Mad deals damage to himself equal to that card's converted mana cost . $-2 : Target creature's controller sacrifices it , then that player puts a 5/5 red Dragon creature token with flying onto the battlefield . $-4 : Each Dragon creature you control deals damage equal to its power to target player ."
Stalwart Shield-Bearers,3,0,{1}{W},Creature - Human Soldier,Defender$Other creatures you control with defender get +0/+2 .
Vengevine,3,4,{2}{G}{G},Creature - Elemental,"Haste$Whenever you cast a spell , if it's the second creature spell you cast this turn , you may return Vengevine from your graveyard to the battlefield ."
Bounteous Kirin,4,4,{5}{G}{G},Legendary Creature - Kirin Spirit,"Flying$Whenever you cast a Spirit or Arcane spell , you may gain life equal to that spell's converted mana cost ."
Dreamcatcher,1,1,{U},Creature - Spirit,"Whenever you cast a Spirit or Arcane spell , you may sacrifice Dreamcatcher . If you do , draw a card ."
Glitterfang,1,1,{R},Creature - Spirit,"Haste$At the beginning of the end step , return Glitterfang to its owner's hand ."
Kagemaro's Clutch,,,{3}{B},Enchantment - Aura,"Enchant creature$Enchanted creature gets -X/-X , where X is the number of cards in your hand ."
Matsu-Tribe Birdstalker,2,2,{2}{G}{G},Creature - Snake Warrior Archer,"Whenever Matsu-Tribe Birdstalker deals combat damage to a creature , tap that creature and it doesn't untap during its controller's next untap step . ${G }: Matsu-Tribe Birdstalker gains reach until end of turn . < i > (It can block creatures with flying . ) < /i >"
Oni of Wild Places,5,6,{5}{R},Creature - Demon Spirit,"Haste$At the beginning of your upkeep , return a red creature you control to its owner's hand ."
Sakashima the Impostor,1,3,{2}{U}{U},Legendary Creature - Human Rogue,"You may have Sakashima the Impostor enter the battlefield as a copy of any creature on the battlefield , except its name is still Sakashima the Impostor , it's legendary in addition to its other types , and it gains "" { 2}{U}{U }: Return Sakashima the Impostor to its owner's hand at the beginning of the next end step . """
"Soramaro, First to Dream",*,*,{4}{U}{U},Legendary Creature - Spirit,"Flying$Soramaro , First to Dream's power and toughness are each equal to the number of cards in your hand . ${4 } , Return a land you control to its owner's hand : Draw a card ."
Asceticism,,,{3}{G}{G},Enchantment,Creatures you control have hexproof . < i > (They can't be the targets of spells or abilities your opponents control . ) < /i > ${1}{G }: Regenerate target creature .
Carrion Call,,,{3}{G},Instant,Put two 1/1 green Insect creature tokens with infect onto the battlefield . < i > (They deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i >
Dispense Justice,,,{2}{W},Instant,Target player sacrifices an attacking creature . $Metalcraft - That player sacrifices two attacking creatures instead if you control three or more artifacts .
Galvanic Blast,,,{R},Instant,Galvanic Blast deals 2 damage to target creature or player . $Metalcraft - Galvanic Blast deals 4 damage to that creature or player instead if you control three or more artifacts .
Hoard-Smelter Dragon,5,5,{4}{R}{R},Creature - Dragon,"Flying${3}{R }: Destroy target artifact . Hoard-Smelter Dragon gets +X/+0 until end of turn , where X is that artifact's converted mana cost ."
Lumengrid Drake,2,2,{3}{U},Creature - Drake,"Flying$Metalcraft - When Lumengrid Drake enters the battlefield , if you control three or more artifacts , return target creature to its owner's hand ."
Necropede,1,1,{2},Artifact Creature - Insect,"Infect < i > (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i > $When Necropede dies , you may put a -1/-1 counter on target creature ."
Psychic Miasma,,,{1}{B},Sorcery,"Target player discards a card . If a land card is discarded this way , return Psychic Miasma to its owner's hand ."
Shape Anew,,,{3}{U},Sorcery,"The controller of target artifact sacrifices it , then reveals cards from the top of his or her library until he or she reveals an artifact card . That player puts that card onto the battlefield , then shuffles all other cards revealed this way into his or her library ."
Tangle Angler,5,1,{3}{G},Creature - Horror,Infect < i > (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters . ) < /i > ${G }: Target creature blocks Tangle Angler this turn if able .
Vault Skyward,,,{U},Instant,Target creature gains flying until end of turn . Untap it .
