,name,text
1193,Epic Downfall,Exile target creature with mana value 3 or greater.
1194,Foreboding Fruit,"Target player draws two cards and loses 2 life.
Adamant — If at least three black mana was spent to cast this spell, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1195,Forever Young,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card."
1196,Memory Theft,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. You may put a card that has an Adventure that player owns from exile into that player's graveyard.
1197,Reave Soul,Destroy target creature with power 3 or less.
1198,Specter's Shriek,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player exiles that card. If a nonblack card is exiled this way, exile a card from your hand."
1199,Witch's Vengeance,Creatures of the creature type of your choice get -3/-3 until end of turn.
1200,Blow Your House Down,Up to three target creatures can't block this turn. Destroy any of them that are Walls.
1201,Claim the Firstborn,Gain control of target creature with mana value 3 or less until end of turn. Untap that creature. It gains haste until end of turn.
1202,Irencrag Feat,Add seven {R}. You can cast only one more spell this turn.
1203,Joust,Choose target creature you control and target creature you don't control. The creature you control gets +2/+1 until end of turn if it's a Knight. Then those creatures fight each other. (Each deals damage equal to its power to the other.)
1204,Sundering Stroke,"Sundering Stroke deals 7 damage divided as you choose among one, two, or three targets. If at least seven red mana was spent to cast this spell, instead Sundering Stroke deals 7 damage to each of those permanents and/or players."
1205,Giant Opportunity,"You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1206,Outmuscle,"Put a +1/+1 counter on target creature you control, then it fights target creature you don't control. (Each deals damage equal to its power to the other.)
Adamant — If at least three green mana was spent to cast this spell, the creature you control gains indestructible until end of turn."
1207,Wolf's Quarry,"Create three 1/1 green Boar creature tokens with ""When this creature dies, create a Food token."" (A Food token is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1208,Dance of the Manse,"Return up to X target artifact and/or non-Aura enchantment cards each with mana value X or less from your graveyard to the battlefield. If X is 6 or more, those permanents are 4/4 creatures in addition to their other types."
1209,Covetous Urge,"Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell."
1210,Quiet Speculation,Search target player's library for up to three cards with flashback and put them into that player's graveyard. Then the player shuffles.
1211,Silent Departure,"Return target creature to its owner's hand.
Flashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1212,Cabal Therapy,"Choose a nonland card name. Target player reveals their hand and discards all cards with that name.
Flashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1213,Flame Jab,"Flame Jab deals 1 damage to any target.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1214,Gamble,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle."
1215,Reckless Charge,"Target creature gets +3/+0 and gains haste until end of turn.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1216,Seismic Stomp,Creatures without flying can't block this turn.
1217,Commune with the Gods,Reveal the top five cards of your library. You may put a creature or enchantment card from among them into your hand. Put the rest into your graveyard.
1218,Natural Order,"As an additional cost to cast this spell, sacrifice a green creature.
Search your library for a green creature card, put it onto the battlefield, then shuffle."
1219,Void,Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.
1220,Deploy the Gatewatch,Look at the top seven cards of your library. Put up to two planeswalker cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
1221,Ironwright's Cleansing,Exile target artifact or enchantment.
1222,Providence,"You may reveal this card from your opening hand. If you do, at the beginning of the first upkeep, your life total becomes 26.
Your life total becomes 26."
1223,Spectral Reserves,Create two 1/1 white Spirit creature tokens with flying. You gain 2 life.
1224,Coax from the Blind Eternities,You may reveal an Eldrazi card you own from outside the game or choose a face-up Eldrazi card you own in exile. Put that card into your hand.
1225,Contingency Plan,Look at the top five cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order.
1226,Drag Under,"Return target creature to its owner's hand.
Draw a card."
1227,Take Inventory,"Draw a card, then draw cards equal to the number of cards named Take Inventory in your graveyard."
1228,Cemetery Recruitment,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card."
1229,Certain Death,Destroy target creature. Its controller loses 2 life and you gain 2 life.
1230,Collective Brutality,"Escalate—Discard a card. (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target opponent reveals their hand. You choose an instant or sorcery card from it. That player discards that card.
• Target creature gets -2/-2 until end of turn.
• Target opponent loses 2 life and you gain 2 life."
1231,Dark Salvation,"Target player creates X 2/2 black Zombie creature tokens, then up to one target creature gets -1/-1 until end of turn for each Zombie that player controls."
1232,Prying Questions,Target opponent loses 3 life and puts a card from their hand on top of their library.
1233,Ruthless Disposal,"As an additional cost to cast this spell, discard a card and sacrifice a creature.
Two target creatures each get -13/-13 until end of turn."
1234,Whispers of Emrakul,"Target opponent discards a card at random.
Delirium — If there are four or more card types among cards in your graveyard, that player discards two cards at random instead."
1235,Collective Defiance,"Escalate {1} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player discards all the cards in their hand, then draws that many cards.
• Collective Defiance deals 4 damage to target creature.
• Collective Defiance deals 3 damage to target opponent or planeswalker."
1236,Distemper of the Blood,"Target creature gets +2/+2 and gains trample until end of turn.
Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
1237,Harmless Offering,Target opponent gains control of target permanent you control.
1238,Incendiary Flow,"Incendiary Flow deals 3 damage to any target. If a creature dealt damage this way would die this turn, exile it instead."
1239,Make Mischief,"Make Mischief deals 1 damage to any target. Create a 1/1 red Devil creature token. It has ""When this creature dies, it deals 1 damage to any target."""
1240,Nahiri's Wrath,"As an additional cost to cast this spell, discard X cards.
Nahiri's Wrath deals damage equal to the total mana value of the discarded cards to each of up to X target creatures and/or planeswalkers."
1241,Shreds of Sanity,"Return up to one target instant card and up to one target sorcery card from your graveyard to your hand, then discard a card. Exile Shreds of Sanity."
1242,Stensia Banquet,"Stensia Banquet deals damage to target opponent or planeswalker equal to the number of Vampires you control.
Draw a card."
1243,Eldritch Evolution,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution."
1244,Cenn's Enlistment,"Create two 1/1 white Kithkin Soldier creature tokens.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1245,Inundate,Return all nonblue creatures to their owners' hands.
1246,Sanity Grinding,"Chroma — Reveal the top ten cards of your library. For each blue mana symbol in the mana costs of the revealed cards, target opponent mills a card. Then put the cards you revealed this way on the bottom of your library in any order."
1247,Nightmare Incursion,"Search target player's library for up to X cards, where X is the number of Swamps you control, and exile them. Then that player shuffles."
1248,Raven's Crime,"Target player discards a card.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1249,Soul Reap,Destroy target nongreen creature. Its controller loses 3 life if you've cast another black spell this turn.
1250,Syphon Life,"Target player loses 2 life and you gain 2 life.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1251,Talara's Bane,"Target opponent reveals their hand. You choose a green or white creature card from it. You gain life equal to that creature card's toughness, then that player discards that card."
1252,Rekindled Flame,"Rekindled Flame deals 4 damage to any target.
At the beginning of your upkeep, if an opponent has no cards in hand, you may return Rekindled Flame from your graveyard to your hand."
1253,Unwilling Recruit,Gain control of target creature until end of turn. Untap that creature. It gets +X/+0 and gains haste until end of turn.
1254,Monstrify,"Target creature gets +4/+4 until end of turn.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1255,Phosphorescent Feast,Chroma — Reveal any number of cards in your hand. You gain 2 life for each green mana symbol in those cards' mana costs.
1256,Savage Conception,"Create a 3/3 green Beast creature token.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1257,Pyrrhic Revival,Each player returns each creature card from their graveyard to the battlefield with an additional -1/-1 counter on it.
1258,Drain the Well,Destroy target land. You gain 2 life.
1259,Waves of Aggression,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)"
1260,Cataclysm,"Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest."
1261,Aether Tide,"As an additional cost to cast this spell, discard X creature cards.
Return X target creatures to their owners' hands."
1262,Fade Away,"For each creature, its controller sacrifices a permanent unless they pay {1}."
1263,Theft of Dreams,Draw a card for each tapped creature target opponent controls.
1264,Death's Duet,Return two target creature cards from your graveyard to your hand.
1265,Flowstone Flood,"Buyback—Pay 3 life, Discard a card at random. (You may pay 3 life and discard a card at random in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Destroy target land."
1266,Lobotomy,"Target player reveals their hand, then you choose a card other than a basic land card from it. Search that player's graveyard, hand, and library for all cards with the same name as the chosen card and exile them. Then that player shuffles."
1267,Chainer's Edict,"Target player sacrifices a creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1268,Tendrils of Agony,"Target player loses 2 life and you gain 2 life.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
1269,Despise,Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card.
1270,Gitaxian Probe,"({U/P} can be paid with either {U} or 2 life.)
Look at target player's hand.
Draw a card."
1271,Call of the Conclave,Create a 3/3 green Centaur creature token.
1272,Flaying Tendrils,"Devoid (This card has no color.)
All creatures get -2/-2 until end of turn. If a creature would die this turn, exile it instead."
1273,Rise from the Tides,Create a tapped 2/2 black Zombie creature token for each instant and sorcery card in your graveyard.
1274,Servo Exhibition,Create two 1/1 colorless Servo artifact creature tokens.
1275,Soul Exchange,"As an additional cost to cast this spell, exile a creature you control.
Return target creature card from your graveyard to the battlefield. Put a +2/+2 counter on that creature if the exiled creature was a Thrull."
1276,Burning Inquiry,"Each player draws three cards, then discards three cards at random."
1277,Fiery Gambit,"Flip a coin until you lose a flip or choose to stop flipping. If you lose a flip, Fiery Gambit has no effect. If you win one or more flips, Fiery Gambit deals 3 damage to target creature. If you win two or more flips, Fiery Gambit deals 6 damage to each opponent. If you win three or more flips, draw nine cards and untap all lands you control."
1278,Boundless Realms,"Search your library for up to X basic land cards, where X is the number of lands you control, put them onto the battlefield tapped, then shuffle."
1279,Glittering Wish,You may reveal a multicolored card you own from outside the game and put it into your hand. Exile Glittering Wish.
1280,Soul Summons,Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
1281,Fascination,"Choose one —
• Each player draws X cards.
• Each player mills X cards."
1282,Shifting Loyalties,"Exchange control of two target permanents that share a card type. (Artifact, creature, enchantment, land, and planeswalker are card types.)"
1283,Temporal Trespass,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Take an extra turn after this one. Exile Temporal Trespass."
1284,Write into Being,"Look at the top two cards of your library. Manifest one of those cards, then put the other on the top or bottom of your library. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
1285,Dark Deal,"Each player discards all the cards in their hand, then draws that many cards minus one."
1286,Diplomacy of the Wastes,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. If you control a Warrior, that player loses 2 life."
1287,Fearsome Awakening,"Return target creature card from your graveyard to the battlefield. If it's a Dragon, put two +1/+1 counters on it."
1288,Grave Strength,"Choose target creature. Mill three cards, then put a +1/+1 counter on that creature for each creature card in your graveyard."
1289,Tasigur's Cruelty,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Each opponent discards two cards."
1290,Fierce Invocation,"Manifest the top card of your library, then put two +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
1291,Mob Rule,"Choose one —
• Gain control of all creatures with power 4 or greater until end of turn. Untap those creatures. They gain haste until end of turn.
• Gain control of all creatures with power 3 or less until end of turn. Untap those creatures. They gain haste until end of turn."
1292,Cached Defenses,Bolster 3. (Choose a creature with the least toughness among creatures you control and put three +1/+1 counters on it.)
1293,Formless Nurturing,"Manifest the top card of your library, then put a +1/+1 counter on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
1294,Hunt the Weak,Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)
1295,Map the Wastes,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
1296,Wildcall,"Manifest the top card of your library, then put X +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
1297,Chronomantic Escape,"Until your next turn, creatures can't attack you. Exile Chronomantic Escape with three time counters on it.
Suspend 3—{2}{W} (Rather than cast this card from your hand, you may pay {2}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
1298,Marshaling Cry,"Creatures you control get +1/+1 and gain vigilance until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)
Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1299,Foresee,"Scry 4, then draw two cards."
1300,Mystic Speculation,"Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)
Scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
1301,Reality Strobe,"Return target permanent to its owner's hand. Exile Reality Strobe with three time counters on it.
Suspend 3—{2}{U} (Rather than cast this card from your hand, you may pay {2}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
1302,Festering March,"Creatures your opponents control get -1/-1 until end of turn. Exile Festering March with three time counters on it.
Suspend 3—{2}{B} (Rather than cast this card from your hand, you may pay {2}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
1303,Lost Hours,Target player reveals their hand. You choose a nonland card from it. That player puts that card into their library third from the top.
1304,Minions' Murmurs,"You draw X cards and you lose X life, where X is the number of creatures you control."
1305,Bitter Ordeal,"Search target player's library for a card and exile it. Then that player shuffles.
Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard this turn. You may choose new targets for the copies.)"
1306,Arc Blade,"Arc Blade deals 2 damage to any target. Exile Arc Blade with three time counters on it.
Suspend 3—{2}{R} (Rather than cast this card from your hand, you may pay {2}{R} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
1307,Haze of Rage,"Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.)
Creatures you control get +1/+0 until end of turn.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
1308,Thunderblade Charge,"Thunderblade Charge deals 3 damage to any target.
Whenever one or more creatures you control deal combat damage to a player, if Thunderblade Charge is in your graveyard, you may pay {2}{R}{R}{R}. If you do, you may cast it without paying its mana cost."
1309,Cyclical Evolution,"Target creature gets +3/+3 until end of turn. Exile Cyclical Evolution with three time counters on it.
Suspend 3—{2}{G} (Rather than cast this card from your hand, you may pay {2}{G} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
1310,Yawgmoth's Will,"Until end of turn, you may play lands and cast spells from your graveyard.
If a card would be put into your graveyard from anywhere this turn, exile that card instead."
1311,Stolen Identity,"Create a token that's a copy of target artifact or creature.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1312,Ribbons of Night,"Ribbons of Night deals 4 damage to target creature and you gain 4 life. If {U} was spent to cast this spell, draw a card."
1313,Call of the Nightwing,"Create a 1/1 blue and black Horror creature token with flying.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1314,Goblin Rally,Create four 1/1 red Goblin creature tokens.
1315,Shattering Spree,"Replicate {R} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Destroy target artifact."
1316,Stitch in Time,"Flip a coin. If you win the flip, take an extra turn after this one."
1317,Brightflame,Radiance — Brightflame deals X damage to target creature and each other creature that shares a color with it. You gain life equal to the damage dealt this way.
1318,Rakdos's Return,Rakdos's Return deals X damage to target opponent or planeswalker. That player or that planeswalker's controller discards X cards.
1319,Miming Slime,"Create an X/X green Ooze creature token, where X is the greatest power among creatures you control."
1320,Take Vengeance,Destroy target tapped creature.
1321,River's Rebuke,Return all nonland permanents target player controls to their owner's hand.
1322,Thunderherd Migration,"As an additional cost to cast this spell, reveal a Dinosaur card from your hand or pay {1}.
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
1323,Gruesome Fate,Each opponent loses 1 life for each creature you control.
1324,Nissa's Revelation,"Scry 5, then reveal the top card of your library. If it's a creature card, you draw cards equal to its power and you gain life equal to its toughness."
1325,Overcome,Creatures you control get +2/+2 and gain trample until end of turn. (They can deal excess combat damage to the player or planeswalker they're attacking.)
1326,Benediction of Moons,"You gain 1 life for each player.
Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)
When the creature Benediction of Moons haunts dies, you gain 1 life for each player."
1327,Mimeofacture,"Replicate {3}{U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Choose target permanent an opponent controls. Search that player's library for a card with the same name and put it onto the battlefield under your control. Then that player shuffles."
1328,Caustic Rain,Exile target land.
1329,Cry of Contrition,"Target player discards a card.
Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)
When the creature Cry of Contrition haunts dies, target player discards a card."
1330,Siege of Towers,"Replicate {1}{R} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Target Mountain becomes a 3/1 creature. It's still a land."
1331,Predatory Focus,You may have creatures you control assign their combat damage this turn as though they weren't blocked.
1332,Primeval Light,Destroy all enchantments target player controls.
1333,Castigate,Target opponent reveals their hand. You choose a nonland card from it and exile that card.
1334,Conjurer's Ban,"Choose a card name. Until your next turn, spells with the chosen name can't be cast and lands with the chosen name can't be played.
Draw a card."
1335,Culling Sun,Destroy each creature with mana value 3 or less.
1336,Wreak Havoc,"This spell can't be countered.
Destroy target artifact or land."
1337,Gird for Battle,Put a +1/+1 counter on each of up to two target creatures.
1338,Sworn Companions,Create two 1/1 white Soldier creature tokens with lifelink.
1339,Maximize Altitude,"Target creature gets +1/+1 and gains flying until end of turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1340,Quasiduplicate,"Create a token that's a copy of target creature you control.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1341,Selective Snare,Return X target creatures of the creature type of your choice to their owner's hand.
1342,Creeping Chill,"Creeping Chill deals 3 damage to each opponent and you gain 3 life.
When Creeping Chill is put into your graveyard from your library, you may exile it. If you do, Creeping Chill deals 3 damage to each opponent and you gain 3 life."
1343,Deadly Visit,"Destroy target creature.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1344,Gruesome Menagerie,"Choose a creature card with mana value 1 in your graveyard, then do the same for creature cards with mana value 2 and 3. Return those cards to the battlefield."
1345,Mephitic Vapors,"All creatures get -1/-1 until end of turn.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1346,Never Happened,Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it.
1347,Ritual of Soot,Destroy all creatures with mana value 3 or less.
1348,Vicious Rumors,"Vicious Rumors deals 1 damage to each opponent. Each opponent discards a card, then mills a card. You gain 1 life."
1349,Cosmotronic Wave,Cosmotronic Wave deals 1 damage to each creature your opponents control. Creatures your opponents control can't block this turn.
1350,Direct Current,"Direct Current deals 2 damage to any target.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1351,Gravitic Punch,"Target creature you control deals damage equal to its power to target player.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1352,Maximize Velocity,"Target creature gets +1/+1 and gains haste until end of turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1353,Circuitous Route,"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle."
1354,Sprouting Renewal,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose one —
• Create a 2/2 green and white Elf Knight creature token with vigilance.
• Destroy target artifact or enchantment."
1355,Vivid Revival,Return up to three target multicolored cards from your graveyard to your hand. Exile Vivid Revival.
1356,Beacon Bolt,"Beacon Bolt deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1357,Camaraderie,"You gain X life and draw X cards, where X is the number of creatures you control. Creatures you control get +1/+1 until end of turn."
1358,Deafening Clarion,"Choose one or both —
• Deafening Clarion deals 3 damage to each creature.
• Creatures you control gain lifelink until end of turn."
1359,Mnemonic Betrayal,"Exile all opponents' graveyards. You may cast spells from among those cards this turn, and you may spend mana as though it were mana of any type to cast those spells. At the beginning of the next end step, if any of those cards remain exiled, return them to their owners' graveyards.
Exile Mnemonic Betrayal."
1360,Notion Rain,"Surveil 2, then draw two cards. Notion Rain deals 2 damage to you. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1361,Thought Erasure,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
1362,Undercity Uprising,Creatures you control gain deathtouch until end of turn. Then target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
1363,Unmoored Ego,"Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way."
1364,Connive // Concoct,Gain control of target creature with power 2 or less.
1365,Discovery // Dispersal,"Surveil 2, then draw a card. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1366,Flower // Flourish,"Search your library for a basic Forest or Plains card, reveal it, put it into your hand, then shuffle."
1367,Precision Bolt,Precision Bolt deals 3 damage to any target.
1368,Vraska's Stoneglare,"Destroy target creature. You gain life equal to its toughness. You may search your library and/or graveyard for a card named Vraska, Regal Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle."
1369,Rhythmic Water Vortex,"Return up to two target creatures to their owner's hand.
Search your library and/or graveyard for a card named Mu Yanling, reveal it, and put it into your hand. If you searched your library this way, shuffle."
1370,Aggressive Instinct,Target creature you control deals damage equal to its power to target creature you don't control.
1371,Confidence from Strength,Target creature gets +4/+4 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)
1372,Journey for the Elixir,"Search your library and graveyard for a basic land card and a card named Jiang Yanggu, reveal them, put them into your hand, then shuffle."
1373,Cleansing Screech,Cleansing Screech deals 4 damage to any target.
1374,Angelic Edict,Exile target creature or enchantment.
1375,Knight Watch,Create two 2/2 white Knight creature tokens with vigilance.
1376,Righteous Charge,Creatures you control get +2/+2 until end of turn.
1377,Enter the Infinite,"Draw cards equal to the number of cards in your library, then put a card from your hand on top of your library. You have no maximum hand size until your next turn."
1378,Hands of Binding,"Tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1379,Last Thoughts,"Draw a card.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1380,Voidwalk,"Exile target creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1381,Mental Vapors,"Target player discards a card.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1382,Midnight Recovery,"Return target creature card from your graveyard to your hand.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1383,Shadow Slice,"Target opponent loses 3 life.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1384,Undercity Plague,"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1385,Mark for Death,Target creature an opponent controls blocks this turn if able. Untap that creature. Other creatures that player controls can't block this turn.
1386,Mugging,Mugging deals 2 damage to target creature. That creature can't block this turn.
1387,Structural Collapse,Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.
1388,Serene Remembrance,Shuffle Serene Remembrance and up to three target cards from a single graveyard into their owners' libraries.
1389,Frenzied Tilling,"Destroy target land. Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
1390,Mind Grind,"Each opponent reveals cards from the top of their library until they reveal X land cards, then puts all cards revealed this way into their graveyard. X can't be 0."
1391,Paranoid Delusions,"Target player mills three cards.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
1392,Purge the Profane,Target opponent discards two cards and you gain 2 life.
1393,Unexpected Results,"Shuffle your library, then reveal the top card. If it's a nonland card, you may cast it without paying its mana cost. If it's a land card, you may put it onto the battlefield and return Unexpected Results to its owner's hand."
1394,Coerced Confession,Target player mills four cards. You draw a card for each creature card put into their graveyard this way.
1395,Immortal Servitude,Return each creature card with mana value X from your graveyard to the battlefield.
1396,Distant Melody,Choose a creature type. Draw a card for each permanent you control of that type.
1397,Aphetto Dredging,Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.
1398,Nerf War,"Fire a Nerf® blaster until empty at target library from at least two meters away. For each card knocked off that library, put it into its owner's graveyard and Nerf War deals ½ damage to that player. (Foam darts only.)"
1399,Shenanigans,"Destroy target artifact.
Dredge 1 (If you would draw a card, you may mill a card instead. If you do, return this card from your graveyard to your hand.)"
1400,Scale Up,"Until end of turn, target creature you control becomes a green Wurm with base power and toughness 6/4.
Overload {4}{G}{G} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
1401,Timely Reinforcements,"If you have less life than an opponent, you gain 6 life. If you control fewer creatures than an opponent, create three 1/1 white Soldier creature tokens."
1402,Declaration in Stone,Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.
1403,Collected Conjuring,Exile the top six cards of your library. You may cast up to two sorcery spells with mana value 3 or less from among them without paying their mana costs. Put the exiled cards not cast this way on the bottom of your library in a random order.
1404,Snowborn Simulacra,"Conjure a duplicate of each of X target nontoken permanents into your hand. Those cards perpetually gain ""You may spend mana as though it were mana of any color to cast this spell."" If X is 5 or more, you may put one of them from your hand onto the battlefield."
