,name,text
1372,Ruthless Instincts,"Choose one —
• Target nonattacking creature gains reach and deathtouch until end of turn. Untap it.
• Target attacking creature gets +2/+2 and gains trample until end of turn."
1373,Sudden Reclamation,"Mill four cards, then return a creature card and a land card from your graveyard to your hand."
1374,Winds of Qal Sisma,"Prevent all combat damage that would be dealt this turn.
Ferocious — If you control a creature with power 4 or greater, instead prevent all combat damage that would be dealt this turn by creatures your opponents control."
1375,Cunning Strike,"Cunning Strike deals 2 damage to target creature and 2 damage to target player or planeswalker.
Draw a card."
1376,Ethereal Ambush,"Manifest the top two cards of your library. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
1377,Grim Contest,Choose target creature you control and target creature an opponent controls. Each of those creatures deals damage equal to its toughness to the other.
1378,Harsh Sustenance,"Harsh Sustenance deals X damage to any target and you gain X life, where X is the number of creatures you control."
1379,War Flare,Creatures you control get +2/+1 until end of turn. Untap those creatures.
1380,Dust of Moments,"Choose one —
• Remove two time counters from each permanent and each suspended card.
• Put two time counters on each permanent with a time counter on it and each suspended card."
1381,Even the Odds,"Cast this spell only if you control fewer creatures than each opponent.
Create three 1/1 white Soldier creature tokens."
1382,Intervention Pact,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.
At the beginning of your next upkeep, pay {1}{W}{W}. If you don't, you lose the game."
1383,Judge Unworthy,"Choose target attacking or blocking creature. Scry 3, then reveal the top card of your library. Judge Unworthy deals damage equal to that card's mana value to that creature."
1384,Scout's Warning,"The next creature card you play this turn can be played as though it had flash.
Draw a card."
1385,Patrician's Scorn,"If you've cast another white spell this turn, you may cast this spell without paying its mana cost.
Destroy all enchantments."
1386,Venser's Diffusion,Return target nonland permanent or suspended card to its owner's hand.
1387,Logic Knot,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Counter target spell unless its controller pays {X}."
1388,Nix,Counter target spell if no mana was spent to cast it.
1389,Slaughter Pact,"Destroy target nonblack creature.
At the beginning of your next upkeep, pay {2}{B}. If you don't, you lose the game."
1390,Death Rattle,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Destroy target nongreen creature. It can't be regenerated."
1391,Pact of the Titan,"Create a 4/4 red Giant creature token.
At the beginning of your next upkeep, pay {4}{R}. If you don't, you lose the game."
1392,Riddle of Lightning,"Choose any target. Scry 3, then reveal the top card of your library. Riddle of Lightning deals damage equal to that card's mana value to that permanent or player."
1393,Sprout Swarm,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Create a 1/1 green Saproling creature token."
1394,Intuition,Search your library for three cards and reveal them. Target opponent chooses one. Put that card into your hand and the rest into your graveyard. Then shuffle.
1395,Cunning Wish,You may reveal an instant card you own from outside the game and put it into your hand. Exile Cunning Wish.
1396,Orim's Chant,"Kicker {W} (You may pay an additional {W} as you cast this spell.)
Target player can't cast spells this turn. If this spell was kicked, creatures can't attack this turn."
1397,Char,Char deals 4 damage to any target and 2 damage to you.
1398,Electrickery,"Electrickery deals 1 damage to target creature you don't control.
Overload {1}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
1399,Cerebral Vortex,"Target player draws two cards, then Cerebral Vortex deals damage to that player equal to the number of cards they've drawn this turn."
1400,Darkblast,"Target creature gets -1/-1 until end of turn.
Dredge 3 (If you would draw a card, you may mill three cards instead. If you do, return this card from your graveyard to your hand.)"
1401,Abrupt Decay,"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less."
1402,Devouring Light,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Exile target attacking or blocking creature."
1403,Gather Courage,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets +2/+2 until end of turn."
1404,Scatter the Seeds,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Create three 1/1 green Saproling creature tokens."
1405,Azorius Charm,"Choose one —
• Creatures you control gain lifelink until end of turn.
• Draw a card.
• Put target attacking or blocking creature on top of its owner's library."
1406,Dramatic Rescue,Return target creature to its owner's hand. You gain 2 life.
1407,Orzhov Charm,"Choose one —
• Return target creature you control and all Auras you control attached to it to their owner's hand.
• Destroy target creature and you lose life equal to its toughness.
• Return target creature card with mana value 1 or less from your graveyard to the battlefield."
1408,Gruul Charm,"Choose one —
• Creatures without flying can't block this turn.
• Gain control of all permanents you own.
• Gruul Charm deals 3 damage to each creature with flying."
1409,Pit Fight,Target creature you control fights another target creature. (Each deals damage equal to its power to the other.)
1410,Dramatic Reversal,Untap all nonland permanents you control.
1411,Grasp of Darkness,Target creature gets -4/-4 until end of turn.
1412,Bright Reprisal,"Destroy target attacking creature.
Draw a card."
1413,Hydrolash,"Attacking creatures get -2/-0 until end of turn.
Draw a card."
1414,Cruel Revival,Destroy target non-Zombie creature. It can't be regenerated. Return up to one target Zombie card from your graveyard to your hand.
1415,Ghostway,Exile each creature you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.
1416,To Arms!,"Untap all creatures you control.
Draw a card."
1417,Withstand,"Prevent the next 3 damage that would be dealt to any target this turn.
Draw a card."
1418,Frazzle,Counter target nonblue spell.
1419,Gigadrowse,"Replicate {U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Tap target permanent."
1420,Runeboggle,"Counter target spell unless its controller pays {1}.
Draw a card."
1421,Cremate,"Exile target card from a graveyard.
Draw a card."
1422,Seize the Soul,"Destroy target nonwhite, nonblack creature. Create a 1/1 white Spirit creature token with flying.
Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)
When the creature Seize the Soul haunts dies, destroy target nonwhite, nonblack creature. Create a 1/1 white Spirit creature token with flying."
1423,Parallectric Feedback,Parallectric Feedback deals damage to target spell's controller equal to that spell's mana value.
1424,Crash Landing,Target creature with flying loses flying until end of turn. Crash Landing deals damage to that creature equal to the number of Forests you control.
1425,Leap of Flame,"Replicate {U}{R} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Target creature gets +1/+0 and gains flying and first strike until end of turn."
1426,Schismotivate,Target creature gets +4/+0 until end of turn. Another target creature gets -4/-0 until end of turn.
1427,Collar the Culprit,Destroy target creature with toughness 4 or greater.
1428,Crush Contraband,"Choose one or both —
• Exile target artifact.
• Exile target enchantment."
1429,Take Heart,Target creature gets +2/+2 until end of turn. You gain 1 life for each attacking creature you control.
1430,Dazzling Lights,"Target creature gets -3/-0 until end of turn.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1431,Mission Briefing,"Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast it this turn. If that spell would be put into your graveyard, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1432,Radical Idea,"Draw a card.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1433,Sinister Sabotage,"Counter target spell.
Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
1434,Unexplained Disappearance,"Return target creature to its owner's hand.
Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
1435,Mausoleum Secrets,"Undergrowth — Search your library for a black card with mana value less than or equal to the number of creature cards in your graveyard, reveal it, put it into your hand, then shuffle."
1436,Necrotic Wound,"Undergrowth — Target creature gets -X/-X until end of turn, where X is the number of creature cards in your graveyard. If that creature would die this turn, exile it instead."
1437,Price of Fame,"This spell costs {2} less to cast if it targets a legendary creature.
Destroy target creature.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
1438,Command the Storm,Command the Storm deals 5 damage to target creature.
1439,Risk Factor,"Target opponent may have Risk Factor deal 4 damage to them. If that player doesn't, you draw three cards.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1440,Bounty of Might,"Target creature gets +3/+3 until end of turn.
Target creature gets +3/+3 until end of turn.
Target creature gets +3/+3 until end of turn."
1441,Pack's Favor,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets +3/+3 until end of turn."
1442,Pause for Reflection,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Prevent all combat damage that would be dealt this turn."
1443,Artful Takedown,"Choose one or both —
• Tap target creature.
• Target creature gets -2/-4 until end of turn."
1444,Chance for Glory,"Creatures you control gain indestructible. Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
1445,Hypothesizzle,"Draw two cards. Then you may discard a nonland card. When you do, Hypothesizzle deals 4 damage to target creature."
1446,Ionize,Counter target spell. Ionize deals 2 damage to that spell's controller.
1447,Join Shields,"Untap all creatures you control. They gain hexproof and indestructible until end of turn. (They can't be the targets of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy them.)"
1448,Justice Strike,Target creature deals damage to itself equal to its power.
1449,March of the Multitudes,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Create X 1/1 white Soldier creature tokens with lifelink."
1450,Sonic Assault,"Tap target creature. Sonic Assault deals 2 damage to that creature's controller.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)"
1451,Assure // Assemble,Put a +1/+1 counter on target creature. That creature gains indestructible until end of turn.
1452,Expansion // Explosion,Copy target instant or sorcery spell with mana value 4 or less. You may choose new targets for the copy.
1453,Integrity // Intervention,Target creature gets +2/+2 until end of turn.
1454,Invert // Invent,Switch the power and toughness of each of up to two target creatures until end of turn.
1455,Status // Statue,Target creature gets +1/+1 and gains deathtouch until end of turn.
1456,Ral's Dispersal,"Return target creature to its owner's hand. You may search your library and/or graveyard for a card named Ral, Caller of Storms, reveal it, and put it into your hand. If you search your library this way, shuffle."
1457,Qilin's Blessing,Target creature gets +2/+2 until end of turn.
1458,Drown in Shapelessness,Return target creature to its owner's hand.
1459,Dragon's Presence,Dragon's Presence deals 5 damage to target attacking or blocking creature.
1460,Breath of Fire,Breath of Fire deals 2 damage to target creature.
1461,Aerial Maneuver,Target creature gets +1/+1 and gains flying and first strike until end of turn.
1462,Shielded Passage,Prevent all damage that would be dealt to target creature this turn.
1463,Smite,Destroy target blocked creature.
1464,Gridlock,Tap X target nonland permanents.
1465,Scatter Arc,"Counter target noncreature spell.
Draw a card."
1466,Spell Rupture,"Counter target spell unless its controller pays {X}, where X is the greatest power among creatures you control."
1467,Devour Flesh,"Target player sacrifices a creature, then gains life equal to that creature's toughness."
1468,Killing Glare,Destroy target creature with power X or less.
1469,Furious Resistance,Target blocking creature gets +3/+0 and gains first strike until end of turn.
1470,Homing Lightning,Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.
1471,Massive Raid,Massive Raid deals damage to any target equal to the number of creatures you control.
1472,Skullcrack,Players can't gain life this turn. Damage can't be prevented this turn. Skullcrack deals 3 damage to target player or planeswalker.
1473,Burst of Strength,Put a +1/+1 counter on target creature and untap it.
1474,Hindervines,Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.
1475,Predator's Rapport,Choose target creature you control. You gain life equal to that creature's power plus its toughness.
1476,Tower Defense,Creatures you control get +0/+5 and gain reach until end of turn.
1477,Wildwood Rebirth,Return target creature card from your graveyard to your hand.
1478,Executioner's Swing,Target creature that dealt damage this turn gets -5/-5 until end of turn.
1479,Hydroform,Target land becomes a 3/3 Elemental creature with flying until end of turn. It's still a land.
1480,Mystic Genesis,"Counter target spell. Create an X/X green Ooze creature token, where X is that spell's mana value."
1481,Psychic Strike,Counter target spell. Its controller mills two cards.
1482,Signal the Clans,"Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library."
1483,Arrows of Justice,Arrows of Justice deals 4 damage to target attacking or blocking creature.
1484,Bioshift,Move any number of +1/+1 counters from target creature onto another target creature with the same controller.
1485,Shattering Blow,Exile target artifact.
1486,Ephemerate,"Exile target creature you control, then return it to the battlefield under its owner's control.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
1487,Archmage's Charm,"Choose one —
• Counter target spell.
• Target player draws two cards.
• Gain control of target nonland permanent with mana value 1 or less."
1488,Magmatic Sinkhole,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Magmatic Sinkhole deals 5 damage to target creature or planeswalker."
1489,Force of Vigor,"If it's not your turn, you may exile a green card from your hand rather than pay this spell's mana cost.
Destroy up to two target artifacts and/or enchantments."
1490,Weather the Storm,"You gain 3 life.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
1491,Hidetsugu's Second Rite,"If target player has exactly 10 life, Hidetsugu's Second Rite deals 10 damage to that player."
1492,Patriar's Humiliation,"Target creature perpetually loses all abilities, then Patriar's Humiliation deals damage to it equal to the number of creatures you control."
1493,Sune's Intervention,"Choose one or more —
• Create two 2/2 white Knight creature tokens.
• Seek a nonland permanent card with mana value 3 or less.
• Destroy target artifact.
• Destroy target enchantment.
• Target player gains 3 life."
1494,Valiant Farewell,"Target creature you control gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, you get a boon with ""When you cast your next creature spell, it perpetually gets +2/+0.""
Draw a card."
1495,Hypnotic Pattern,"Target creature perpetually gets -2/-0.
Target creature gets -2/-0 until end of turn."
1496,Seek New Knowledge,"Seek two nonland cards, then put a card from your hand on the bottom of your library."
1497,Undersimplify,"Choose target spell. If it's a creature spell, it perpetually gets -2/-0. Counter that spell unless its controller pays {2}."
1498,Grave Choice,"Target opponent sacrifices a nontoken creature. If that creature had mana value 2 or less, conjure a duplicate of it into your hand. That duplicate perpetually gains ""You may spend mana as though it were mana of any color to cast this spell."""
1499,Sewer Plague,"Target creature an opponent controls perpetually gets -2/-2 and gains ""at the beginning of each upkeep, this creature perpetually gets -1/-1."""
1500,Arcane Archery,"Target creature gets +3/+3 and gains reach and trample until end of turn.
You get a boon with ""When you cast your next creature spell, that creature enters the battlefield with an additional +1/+1 counter, reach counter, and trample counter on it."""
1501,You Line Up the Shot,"Choose one —
• Aim for the Wyvern — Conjure a card named Plummet into your hand.
• Aim for the Cursed Amulet — Conjure a card named Naturalize into your hand.
• Fire a Warning Shot — Draw a card."
1502,Yuan-Ti Scaleshield,"Permanents you control gain hexproof and indestructible until end of turn.
Seek a creature card if an opponent has cast a spell with mana value 3 or less this turn."
1503,A-You Come to a River,"Choose one —
• Fight the Current — The owner of target nonland permanent puts it on the top or bottom of their library.
• Find a Crossing — Target creature gets +1/+0 until end of turn and can't be blocked this turn."
1504,A-Eyes of the Beholder,Target creature gets -11/-11 until end of turn.
1505,Gifts Given,Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles their library.
1506,Chain Stasis,"You may tap or untap target creature. Then that creature's controller may pay {2}{U}. If the player does, they may copy this spell and may choose a new target for that copy."
1507,Jinx,"Target land becomes the basic land type of your choice until end of turn.
Draw a card at the beginning of the next turn's upkeep."
1508,Headstone,"Exile target card from a graveyard.
Draw a card at the beginning of the next turn's upkeep."
1509,Aliban's Tower,Target blocking creature gets +3/+1 until end of turn.
1510,Ambush,Blocking creatures gain first strike until end of turn.
1511,Keep Watch,Draw a card for each attacking creature.
1512,Tribal Unity,Creatures of the creature type of your choice get +X/+X until end of turn.
1513,Djeru's Renunciation,"Tap up to two target creatures.
Cycling {W} ({W}, Discard this card: Draw a card.)"
1514,Gideon's Defeat,"Exile target white creature that's attacking or blocking. If it was a Gideon planeswalker, you gain 5 life."
1515,Imaginary Threats,"Creatures target opponent controls attack this turn if able. During that player's next untap step, creatures they control don't untap.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1516,Jace's Defeat,"Counter target blue spell. If it was a Jace planeswalker spell, scry 2."
1517,Tragic Lesson,Draw two cards. Then discard a card unless you return a land you control to its owner's hand.
1518,Hour of Glory,"Exile target creature. If that creature was a God, its controller reveals their hand and exiles all cards from it with the same name as that creature."
1519,Torment of Venom,Put three -1/-1 counters on target creature. Its controller loses 3 life unless they sacrifice another nonland permanent or discards a card.
1520,Without Weakness,"Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)
Cycling {2} ({2}, Discard this card: Draw a card.)"
1521,Gift of Strength,Target creature gets +3/+3 and gains reach until end of turn.
1522,Diabolical Salvation,"Split second
Create four 4/4 red Devil creature tokens with haste and ""When this creature dies, create a colorless Treasure artifact token with '{T}, Sacrifice this artifact: Add one mana of any color.'"" Sacrifice the Devil tokens at the beginning of the next end step."
1523,Battle Cry,"Untap all white creatures you control.
Whenever a creature blocks this turn, it gets +0/+1 until end of turn."
1524,Formation,"Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Draw a card at the beginning of the next turn's upkeep."
1525,Lightning Blow,"Target creature gains first strike until end of turn.
Draw a card at the beginning of the next turn's upkeep."
1526,Rally,Blocking creatures get +1/+1 until end of turn.
1527,Warning,Prevent all combat damage that would be dealt by target attacking creature this turn.
1528,Clairvoyance,"Look at target player's hand.
Draw a card at the beginning of the next turn's upkeep."
1529,Force Void,"Counter target spell unless its controller pays {1}.
Draw a card at the beginning of the next turn's upkeep."
1530,Infuse,"Untap target artifact, creature, or land.
Draw a card at the beginning of the next turn's upkeep."
1531,Ray of Erasure,"Target player mills a card.
Draw a card at the beginning of the next turn's upkeep."
1532,Winter's Chill,"Cast this spell only during combat before blockers are declared.
X can't be greater than the number of snow lands you control.
Choose X target attacking creatures. For each of those creatures, its controller may pay {1} or {2}. If that player doesn't, destroy that creature at end of combat. If that player pays only {1}, prevent all combat damage that would be dealt to and dealt by that creature this combat."
1533,Word of Undoing,Return target creature and all white Auras you own attached to it to their owners' hands.
1534,Burnt Offering,"As an additional cost to cast this spell, sacrifice a creature.
Add X mana in any combination of {B} and/or {R}, where X is the sacrificed creature's mana value."
1535,Demonic Consultation,"Choose a card name. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with the chosen name. Put that card into your hand and exile all other cards revealed this way."
1536,Gravebind,"Target creature can't be regenerated this turn.
Draw a card at the beginning of the next turn's upkeep."
1537,Songs of the Damned,Add {B} for each creature card in your graveyard.
1538,Spoils of Evil,"For each artifact or creature card in target opponent's graveyard, add {C} and you gain 1 life."
1539,Battle Frenzy,"Green creatures you control get +1/+1 until end of turn.
Nongreen creatures you control get +1/+0 until end of turn."
1540,Melee,"Cast this spell only during your turn and only during combat before blockers are declared.
You choose which creatures block this combat and how those creatures block.
Whenever a creature attacks and isn't blocked this combat, untap it and remove it from combat."
1541,Fanatical Fever,Target creature gets +3/+0 and gains trample until end of turn.
1542,Touch of Vitae,"Until end of turn, target creature gains haste and ""{0}: Untap this creature. Activate only once.""
Draw a card at the beginning of the next turn's upkeep."
1543,Trailblazer,Target creature can't be blocked this turn.
1544,Venomous Breath,"Choose target creature. At this turn's next end of combat, destroy all creatures that blocked or were blocked by it this turn."
1545,Whiteout,"All creatures lose flying until end of turn.
Sacrifice a snow land: Return Whiteout from your graveyard to your hand."
1546,Essence Vortex,Destroy target creature unless its controller pays life equal to its toughness. A creature destroyed this way can't be regenerated.
1547,Fire Covenant,"As an additional cost to cast this spell, pay X life.
Fire Covenant deals X damage divided as you choose among any number of target creatures."
1548,Blade Banish,Exile target creature with power 4 or greater.
1549,Coordinated Charge,"Creatures you control get +2/+1 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1550,Divine Arrow,Divine Arrow deals 4 damage to target attacking or blocking creature.
1551,Fight as One,"Choose one or both —
• Target Human creature you control gets +1/+1 and gains indestructible until end of turn.
• Target non-Human creature you control gets +1/+1 and gains indestructible until end of turn."
1552,Light of Hope,"Choose one —
• You gain 4 life.
• Destroy target enchantment.
• Put a +1/+1 counter on target creature."
1553,Spontaneous Flight,Target creature gets +2/+2 until end of turn. Put a flying counter on it.
1554,Will of the All-Hunter,"Target creature gets +2/+2 until end of turn. If it's blocking, instead put two +1/+1 counters on it.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1555,Frostveil Ambush,"Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.
Cycling {1} ({1}, Discard this card: Draw a card.)"
1556,Hampering Snare,"Creatures your opponents control get -2/-0 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1557,Keep Safe,"Counter target spell that targets a permanent you control.
Draw a card."
1558,Neutralize,"Counter target spell.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1559,Startling Development,"Until end of turn, target creature becomes a blue Serpent with base power and toughness 4/4.
Cycling {1} ({1}, Discard this card: Draw a card.)"
1560,Blood Curdle,Destroy target creature. Put a menace counter on a creature you control. (It can't be blocked except by two or more creatures.)
1561,Easy Prey,"Destroy target creature with mana value 2 or less.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1562,Heartless Act,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature."
1563,Mythos of Nethroi,Destroy target nonland permanent if it's a creature or if {G}{W} was spent to cast this spell.
1564,Suffocating Fumes,"Creatures your opponents control get -1/-1 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1565,Unexpected Fangs,Put a +1/+1 counter and a lifelink counter on target creature.
1566,Blitz of the Thunder-Raptor,"Blitz of the Thunder-Raptor deals damage to target creature or planeswalker equal to the number of instant and sorcery cards in your graveyard. If that creature or planeswalker would die this turn, exile it instead."
1567,Clash of Titans,Target creature fights another target creature. (Each deals damage equal to its power to the other.)
1568,Fire Prophecy,"Fire Prophecy deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card."
1569,Flame Spill,Flame Spill deals 4 damage to target creature. Excess damage is dealt to that creature's controller instead.
1570,Heightened Reflexes,Target creature gets +1/+0 until end of turn. Put a first strike counter on it.
1571,Raking Claws,"Target creature gains double strike until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1572,Shredded Sails,"Choose one —
• Destroy target artifact.
• Shredded Sails deals 4 damage to target creature with flying.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1573,Barrier Breach,"Exile up to three target enchantments.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1574,Fully Grown,Target creature gets +3/+3 until end of turn. Put a trample counter on it.
1575,Ram Through,"Target creature you control deals damage equal to its power to target creature you don't control. If the creature you control has trample, excess damage is dealt to that creature's controller instead."
1576,Sudden Spinnerets,Target creature gets +1/+3 until end of turn. Put a reach counter on it. Untap it.
1577,Thwart the Enemy,Prevent all damage that would be dealt this turn by creatures your opponents control.
1578,Wilt,"Destroy target artifact or enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)"
1579,Back for More,"Return target creature card from your graveyard to the battlefield. When you do, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)"
1580,Channeled Force,"As an additional cost to cast this spell, discard X cards.
Target player draws X cards. Channeled Force deals X damage to up to one target creature or planeswalker."
1581,Dire Tactics,"Exile target creature. If you don't control a Human, you lose life equal to that creature's toughness."
1582,Zenith Flare,"Zenith Flare deals X damage to any target and you gain X life, where X is the number of cards with a cycling ability in your graveyard."
1583,Emerge Unscathed,"Target creature you control gains protection from the color of your choice until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
1584,Guided Strike,"Target creature gets +1/+0 and gains first strike until end of turn.
Draw a card."
1585,Bewilder,"Target creature gets -3/-0 until end of turn.
Draw a card."
1586,Cryptic Command,"Choose two —
• Counter target spell.
• Return target permanent to its owner's hand.
• Tap all creatures your opponents control.
• Draw a card."
1587,Diminish,Target creature has base power and toughness 1/1 until end of turn.
1588,Haunting Hymn,"Target player discards two cards. If you cast this spell during your main phase, that player discards four cards instead."
1589,Ulcerate,Target creature gets -3/-3 until end of turn. You lose 3 life.
1590,Virulent Swipe,"Target creature gets +2/+0 and gains deathtouch until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
1591,Fury Charm,"Choose one —
• Destroy target artifact.
• Target creature gets +1/+1 and gains trample until end of turn.
• Remove two time counters from target permanent or suspended card."
1592,Aerial Predation,Destroy target creature with flying. You gain 2 life.
1593,Prey's Vengeance,"Target creature gets +2/+2 until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
1594,Liberate,Exile target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
1595,Orim's Touch,"Kicker {1} (You may pay an additional {1} as you cast this spell.)
Prevent the next 2 damage that would be dealt to any target this turn. If this spell was kicked, prevent the next 4 damage that would be dealt to that permanent or player this turn instead."
1596,Restrain,"Prevent all combat damage that would be dealt by target attacking creature this turn.
Draw a card."
1597,Samite Ministration,"Prevent all damage that would be dealt to you this turn by a source of your choice. Whenever damage from a black or red source is prevented this way this turn, you gain that much life."
1598,Winnow,"Destroy target nonland permanent if another permanent with the same name is on the battlefield.
Draw a card."
1599,Barrin's Unmaking,Return target permanent to its owner's hand if that permanent shares a color with the most common color among all permanents or a color tied for most common.
1600,Crystal Spray,"Change the text of target spell or permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Draw a card."
1601,Disrupt,"Counter target instant or sorcery spell unless its controller pays {1}.
Draw a card."
1602,Sway of Illusion,"Any number of target creatures become the color of your choice until end of turn.
Draw a card."
1603,Teferi's Response,"Counter target spell or ability an opponent controls that targets a land you control. If a permanent's ability is countered this way, destroy that permanent.
Draw two cards."
1604,Defiling Tears,"Until end of turn, target creature becomes black, gets +1/-1, and gains ""{B}: Regenerate this creature."""
1605,Dredge,"Sacrifice a creature or land.
Draw a card."
1606,Tsabo's Decree,Choose a creature type. Target player reveals their hand and discards all creature cards of that type. Then destroy all creatures of that type that player controls. They can't be regenerated.
1607,Chaotic Strike,"Cast this spell only during combat after blockers are declared.
Flip a coin. If you win the flip, target creature gets +1/+1 until end of turn.
Draw a card."
1608,Lightning Dart,"Lightning Dart deals 1 damage to target creature. If that creature is white or blue, Lightning Dart deals 4 damage to it instead."
1609,Mages' Contest,"You and target spell's controller bid life. You start the bidding with a bid of 1. In turn order, each player may top the high bid. The bidding ends if the high bid stands. The high bidder loses life equal to the high bid. If you win the bidding, counter that spell."
1610,Overload,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Destroy target artifact if its mana value is 2 or less. If this spell was kicked, destroy that artifact if its mana value is 5 or less instead."
1611,Scorching Lava,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Scorching Lava deals 2 damage to any target. If this spell was kicked, that creature can't be regenerated this turn and if it would die this turn, exile it instead."
1612,Turf Wound,"Target player can't play lands this turn.
Draw a card."
1613,Zap,"Zap deals 1 damage to any target.
Draw a card."
1614,Bind,"Counter target activated ability. (Mana abilities can't be targeted.)
Draw a card."
1615,Explosive Growth,"Kicker {5} (You may pay an additional {5} as you cast this spell.)
Target creature gets +2/+2 until end of turn. If this spell was kicked, that creature gets +5/+5 until end of turn instead."
1616,Tangle,"Prevent all combat damage that would be dealt this turn.
Each attacking creature doesn't untap during its controller's next untap step."
